Time,tp
1996-08-01 06:00:00,0.03190822
1996-09-01 06:00:00,0.03826389
1996-10-01 06:00:00,0.043909077
1996-11-01 06:00:00,0.061904527
1996-12-01 06:00:00,0.049174704
1997-01-01 06:00:00,0.028524593
1997-02-01 06:00:00,0.0016716195
1997-03-01 06:00:00,0.030048564
1997-04-01 06:00:00,0.045483783
1997-05-01 06:00:00,0.032325555
1997-06-01 06:00:00,0.018579101
1997-07-01 06:00:00,0.024752043
1997-08-01 06:00:00,0.026171017
1997-09-01 06:00:00,0.029241562
1997-10-01 06:00:00,0.028286174
1997-11-01 06:00:00,0.047113802
1997-12-01 06:00:00,0.037677865
1998-01-01 06:00:00,0.04195967
1998-02-01 06:00:00,0.019248623
1998-03-01 06:00:00,0.062201124
1998-04-01 06:00:00,0.058264352
1998-05-01 06:00:00,0.057811543
1998-06-01 06:00:00,0.0259943
1998-07-01 06:00:00,0.02132864
1998-08-01 06:00:00,0.034628864
1998-09-01 06:00:00,0.041167066
1998-10-01 06:00:00,0.042957686
1998-11-01 06:00:00,0.039073374
1998-12-01 06:00:00,0.021611076
1999-01-01 06:00:00,0.020691417
1999-02-01 06:00:00,0.031845666
1999-03-01 06:00:00,0.055922706
1999-04-01 06:00:00,0.06989594
1999-05-01 06:00:00,0.02505045
1999-06-01 06:00:00,0.02882986
1999-07-01 06:00:00,0.019857215
1999-08-01 06:00:00,0.027886104
1999-09-01 06:00:00,0.027022459
1999-10-01 06:00:00,0.035756208
1999-11-01 06:00:00,0.061033253
1999-12-01 06:00:00,0.038959794
2000-01-01 06:00:00,0.023408916
2000-02-01 06:00:00,0.011700645
2000-03-01 06:00:00,0.03862123
2000-04-01 06:00:00,0.04236393
2000-05-01 06:00:00,0.01654358
2000-06-01 06:00:00,0.014608765
2000-07-01 06:00:00,0.026482295
2000-08-01 06:00:00,0.034888647
2000-09-01 06:00:00,0.03397665
2000-10-01 06:00:00,0.028487395
2000-11-01 06:00:00,0.0554411
2000-12-01 06:00:00,0.049596462
2001-01-01 06:00:00,0.013661135
2001-02-01 06:00:00,0.030222613
2001-03-01 06:00:00,0.05186806
2001-04-01 06:00:00,0.054153826
2001-05-01 06:00:00,0.03968735
2001-06-01 06:00:00,0.023015974
2001-07-01 06:00:00,0.018795013
2001-08-01 06:00:00,0.032071017
2001-09-01 06:00:00,0.04759865
2001-10-01 06:00:00,0.042684745
2001-11-01 06:00:00,0.06164303
2001-12-01 06:00:00,0.054549426
2002-01-01 06:00:00,0.019221134
2002-02-01 06:00:00,0.01044501
2002-03-01 06:00:00,0.07517834
2002-04-01 06:00:00,0.059163667
2002-05-01 06:00:00,0.04374256
2002-06-01 06:00:00,0.017940711
2002-07-01 06:00:00,0.012262439
2002-08-01 06:00:00,0.025771998
2002-09-01 06:00:00,0.015745593
2002-10-01 06:00:00,0.026541427
2002-11-01 06:00:00,0.061479766
2002-12-01 06:00:00,0.052080527
2003-01-01 06:00:00,0.028813478
2003-02-01 06:00:00,0.022359125
2003-03-01 06:00:00,0.064803705
2003-04-01 06:00:00,0.05169487
2003-05-01 06:00:00,0.0416317
2003-06-01 06:00:00,0.01965046
2003-07-01 06:00:00,0.019832801
2003-08-01 06:00:00,0.03508653
2003-09-01 06:00:00,0.024648283
2003-10-01 06:00:00,0.041293908
2003-11-01 06:00:00,0.05304089
2003-12-01 06:00:00,0.039101794
2004-01-01 06:00:00,0.03379107
2004-02-01 06:00:00,0.030663684
2004-03-01 06:00:00,0.035024453
2004-04-01 06:00:00,0.042678453
2004-05-01 06:00:00,0.05822315
2004-06-01 06:00:00,0.022781944
